aula,nps,comentario,cluster
3,94,"Sensacional as aulas, pena que é uma hora só.",2
3,94,"Se puder mostrar melhor como funciona o Google AI Studio para produção de texto, para quem trabalha com copys de muitos clientes.",2
3,94,"Se bem estou atrasado em 1 semana, está sendo muito gratificante e edificante.",0
3,94,Professora excelente.,0
3,94,"Parabéns!! Não estou entendendo, mas vou focar...",0
3,94,Parabéns pelo conteúdo.,0
3,94,O curso está top!!!,0
3,94,Não conseguindo acompanhar Python mas vamos que vamos.,2
3,94,"Muito bom, não tenho nada a reclamar. Aula muito profunda e interessante, contribui muito mesmo para o aprendizado do curso.",3
3,94,Muito bom conteúdo e professora com bom conhecimento.,3
3,94,Muito boa essa última aula. Buscando conhecimentos.,1
3,94,Muito boa aula da Elaine Rocha de hoje.,1
3,94,"Mais uma excelente aula do curso! A professora é muito didática e clara, além de ser muito atenciosa.",0
4,88,"Tudo certo, bem informativo.",0
4,88,Só achei muito conteúdo extenso e trazer mais didático.,0
4,88,Sempre top.,0
4,88,"Quero continuar aprendendo, as aulas estão muito boas.",2
4,88,Parabéns pelas professores.,0
4,88,Ótimo curso.,0
4,88,"Ótima aula, e o painel do Alura é o melhor que já usei, muito obrigado.",2
4,88,"Os professores demonstraram grande domínio e capacidade de engajamento, incentivando a participação ativa da turma, enquanto o conteúdo se provou extremamente atual e indispensável para verdadeiramente multiplicar o potencial da inteligência artificial no ambiente de negócios.",2
4,88,O problema é meu. Estou empenhado.,0
4,88,"O pessoal do time responde quando as dúvidas das aulas, e onde vemos as respostas?",2
4,88,O mascote (felino) pode participar da aula.,1
4,88,A aula foi muito produtiva.,1
4,88,"Se possível, mostrar como consumir a API do Groq pelo VS Code.",2
4,88,Não aprendi tudo pq estou atrasada na trilha.,0
4,88,Nada no momento.,0
4,88,"Muito legal, estou gostando do aprendizado.",0
4,88,Muito bom.,3
4,88,Muito bom como sempre.,3
4,88,Muito bom aprender com vocês!,3
4,88,Muito bom.,3
4,88,Me sinto bem perdida.,0
4,88,Mais tempo aula ao vivo.,0
4,88,"Gostei muito mas preciso aplicar práticas reais e minha realidade é diferente demais da maioria — uso IA pra me ajudar a trabalhar no mercado de criptoativos. Tenho um prompt e uso o GPT, mas quero aprender sobre GPT e Claude para gestar menos e não variar nem alucinar no meu objetivo.",2
4,88,"Gostei bastante, mas acaba rápido infelizmente.",0
4,88,Gostaria de ver o Codex.,2
4,88,Gostaria de ter um spoiler de como vai ser a prova para me preparar melhor.,2
4,88,Foi uma experiência maravilhosa!,2
4,88,Explicação da professora Elaine sempre bem dinâmica e bem atenciosa a todos!,0
4,88,"Excelente professora, domina o assunto e esclarece dúvidas de forma clara e objetiva. Conteúdo agregador. Obrigada Alura.",0
5,93,"Vocês são incríveis. Por favor ao fazer a assinatura dos cursos, terei acesso a cursos nesse formato com lives ao vivo? Poderei até refazer esse curso?",0
5,93,"Tenho dificuldade na parte de comandos de códigos com a API, mas vou rever desde os primeiros vídeo. A Profa Aline é super simpática e explica bem.",2
5,93,"Sou totalmente iniciante, e como o curso não exigia pré requisito, achei que seria mais fácil de aprender, estou na semana quatro, por falta de tempo e porque, tenho que voltar em alguns vídeos, para ARTIFICIAL Meu gargalo hoje é a montagem de códigos, entendi a lógica, mas não consigo aplicar.",2
5,93,"Sou novo na área, no sou da TI",0
5,93,"Sinto falta de uma linguagem um pouco mais natural para alunos iniciantes na área. As vezes a passagem pelas telas e códigos, fica um pouco confusa.",2
5,93,Repetindo o que já disse antes está ficando denso o assunto e me dando medo.,2
5,93,Professora com otimo conteudo e dominio do que esta ensinando,2
5,93,Parabéns a professora! ARTIFICIAL Gratidão!,0
5,93,Onde consigo as apresentações das aulas e os notebooks?,2
5,93,obrigada pela aula.,1
5,93,Não vejo a hora de começar a aprender a usar agentes de I.A.,2
5,93,Muito bom aprender sobre as ferramentas que estão sendo usadas atualmente. Na espera da próxima aula em que vamos novamente colocar a mão na massa e realizar algumas integrações com as fe,2
5,93,Muito boa a aula!!,1
5,93,Meu problema é o tempo mas estou me organizando pra me organizar.,0
5,93,"Mais uma vez, muito boa a aula. Achei tão legal o exemplo do roadmap que virou site. Eu tenho de um agente que criei em outro curso e vou testar transformar em site qualquer hora. Muito obrigada ARTIFICIAL compartilhar seu conhecimento com a gente e expandir nosso horizonte sobre esse universo, muito mais amplo do que aparenta à primeira vista.",2
5,93,Incrível,0
5,93,Gosto do método e da técnica usada na aula. A oportunidade de feedbacks e a forma dinâmica como a professora responde ao chat passando o conteúdo ao mesmo tempo também prende a atenção ARTIFICIAL bom.,0
5,93,"Gostei do conteúdo e professores ARTIFICIAL Sou novo em conhecimento de IA , mas me parece que o conteúdo está sendo aplicado de tudo um pouco! Acredito que devia ser mais focando , explicando: muitas ferramentas de ia sendo misturadas, quando deveria utilizar apenas uma com mais exemplos!",2
5,93,"Foi uma aula de preparação mental para o restante da trilha, não uma aula para ensinar IA em si. Mesmo assim, foi muito boa, deu uma animada para assistir as próximas aulas.",2
5,93,Foi top,0
5,93,"Foi bem inovador e explicativo, deu uma Luz para às aulas que ainda não tive e pelas que já tive, realmente valeu a pena, foi muito esclarecidor.",2
5,93,"Eu estou com um pouco de dificuldade em aprender os códigos. Não sou programadora, sou da área de texto, mas desejo expandir também nesse universo. Quero me aprimorar na IA. Grata pelos apr",2
5,93,Eu acho que a parte do Google AÍ Studio ficou um pouco superficial. Eu estava esperando testar a parte build dele e depois integrar com a API. No mais eu gostei.,2
5,93,Estou muito satisfeita em.oartixipar dessa jornada,0
5,93,"Estou em duvida, aqui vejo mais coisas para programador, quem ja desenvolve fica mais facil, mas em outro curso falaram q nao seria preciso conhecer programação para usar. Afinal usa ou nao usa?",2
5,93,Estou com muito pouco tempo para ser dedica e percebi que dia 26/06 não terá mais acesso. Devo continua vendo tudo ou posso acelerar? Estou na semana dois agora!!!,2
5,93,"Estou bem perdida, a didática é excelente porém estou perdida",0
6,91,Sentir que a aula não teve uma evolução progressiva hoje.,2
6,91,Parabéns prof você é 10 e bem clara as explicações,0
6,91,"Otima professora, e ótimo método de ensino...",2
6,91,Os exemplos foram ótimos!!,0
6,91,"olá sou aluna Santander /Alura na trilha Especialista em Inteligência Artificial, gostando muito, mas ainda um pouco confusa com os termos e parte dos comandos na programação. Estou revendo as au ARTIFICIAL disponibilizadas no youtube para buscar ter mais compreensão. Acho que para podermos entender melhor, no caso para pessoa como eu que não são da área de programação, seria um pouco melho aula, para não ser tão corrida. gratidão.",2
6,91,Não porque a Elaine depois faz esses relatorios estranhos....,0
6,91,"Não consegui assistir a aula ao vivo hoje, mas assisti depois. Adorei o jeito calmo da professora de responder os alunos, os assuntos como ela aborda, dúvidas de certos assuntos como a prova, etc. Mu ARTIFICIAL professora.",2
6,91,"Muito legal a criação de aplicação direto com IA, com trabalho de prompts, no paralelo a aula fui criando algo para ser usado na minha área de atuação. Muito promissor!",2
6,91,"Muito bom o conteúdo. Além do assunto principal da aula, a professora trouxe outros pontos que complementam a aula.",3
6,91,Muito bom a aula,3
6,91,Muito boa a aula,1
6,91,Maravilha de aula,1
6,91,Mais uma excelente aula deste curso. A professora sempre muito explicativa e didática.,0
6,91,"Mais uma boa aula! Achei interessante o exercício no Google AI Studio com os nossos feedbacks. À primeira vista, o site pareceu bem funcional e ainda responsivo. E ficou bem visual para montar plan ARTIFICIAL analisar tudo. Eu tentei usar o Cursor para fazer o desafio do Fabrício, mas não consegui e voltei para o VS Code. Vou testar uma das ferramentas apresentadas hoje para, quem sabe, me ajudar com iss",2
6,91,"Houve mais uma mudança no material os textos vem com uma linguagem que mais atrapalha que ajuda. Se possível sugiro usar o português padrão formal no material, que aliás é a nossa língua!",2
6,91,Gostei muito do conteúdo,0
6,91,Gostei muito de aprender mais sobre IA estudio do Google,2
6,91,Fantástico,0
6,91,Execelete Aula,1
6,91,Estou com delei de aulas comecei 4 semanas após o início mas a didática da professora é ótima. E esse universo está me encanta do,2
6,91,Estou aprendendo bastante,0
6,91,"Essa aula foi muito boa! Bem prática e ptt euiditiva!! Só segue com vocabulário difícil para quem não é da área. Isso deveria ser revisto, é o que leva na Alura como um todo, com raras excessões.",2
6,91,"Devido ao meu ritmo do dia a dia estou meio atrasado, mas até agora muito bom o curso.",0
6,91,Conteúdos passados de modo dinâmico e inovador e atualizado. bem interessante!,2
6,91,Aula on-line deveria ser mais logo!,0
6,91,Aula muito boa e informativa,1
6,91,AULA MUITO BOA,1
7,87,Top demais a aula,1
7,87,Tem como gerar uma automatização que elimine o risco de uma indisponibilidade ou atualização em algum modelo? Ou seja na hora de executar o código ocorre uma falha por falta de do modelo.,2
7,87,"Sem comentários. Toda semana eu estou dando elogios que não tenho mais como descrever o quão boa é a professora, explica bem, é calma, etc.",2
7,87,Professora muito boa! Adorei a aula!,1
7,87,Preciso de ajuda.,2
7,87,O entendimento dos casos apresentados foi muito bom,3
7,87,Muito conteúdo para pouco tempo,3
7,87,Muito bom a parte prática das aulas.,3
7,87,"Muito bom a comparação Langxhain, CrewAI e PydanticAI.",3
7,87,"Mais uma boa aula! A professora mostrou um exemplo de aplicação em três frameworks diferentes, LangChain, CrewAI e PydanticAI. Foi mais prática do que a teoria vista nas aulas da semana, que exp ARTIFICIAL probabilidades, incertezas e machine learning conectando tudo.",2
7,87,Mais uma aula muito didática. Parabéns a professora Elaine e também a todo o suporte e informações dadas pela Denize. Todo o curso até aqui muito bem organizado. Na expectativa de ser seleciona ARTIFICIAL da imersão!,0
7,87,"gostei da aula, bem explicado, detalhada e dinâmica",0
7,87,Gostaria de saber como será a avaliação,2
7,87,"Fluxo da aula, precisava mais tempo. ARTIFICIAL Conteúdo grande.",0
7,87,"Exemplos práticos e específicos de uso inmediato seria muito desejáveis, como um atendimento a cliente com IA. Ou reconhecimento de caracteres",2
7,87,Excelente didatica,0
7,87,"Excelente aula, só a duração que é muito rápida.",1
7,87,Excelente aula da Elaine. Na expectativa da próxima pra ter mais esclarecimentos principalmente sobre o Claude Code.,0
7,87,Excelente aula,1
7,87,Estou solta sem resultados com os questionários ....pois a li Guatemala e tudo novo daí fico no escuro...a interação por e-mail é muito importante ou WhatsApp...Socorro. so esta parte me deixou sem e ARTIFICIAL de Share Point por exemplo nao ouvi falar a língua,2
7,87,"Essa aula, foi tranquila pelo fato de ser praticamente toda teórica, o ruim é que ficamos com a impressão de que sabemos fazer o que a professora ensinou, porém quando vamos pra prática, não sai d ARTIFICIAL esperamos.",2
7,87,"Dificil aprender phyton em tao pouco tempo, pra quem nao tem experiência é pesado.",2
7,87,Conteúdo muito atual. Didática excelente,0
7,87,Cada dia mais empolgado nessa trilha,0
7,87,Boa aula,1
7,87,"Aulas muito boas, pincelada de ótimos frameworks e boas ideias. Porém, dado que terminei o curso de nivelamento, algumas materiais de aulas ao vivo não tem relação direta com as aulas das seman ARTIFICIAL pessoa espera ver ou tenha visto mesmo assunto da aula não vai encontrar nas aulas do nivelamento. Certamente, quem nunca viu vai ficar perdido.",2
7,87,Aula muito boa!,1
